date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:42	689460/689460	---MCZ	200	added ('OK')	text/html	etag:W/%22c4f6a14b95b171629d335ccb72ee48b3%22	https://frame.io/integrations	/Users/dhruv/websites/Speak%20Savvy/frame.io/integrations.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:43	282670/282670	---MCZ	200	added ('OK')	text/html	etag:W/%22e277b84d4cf83908e7f2865b9f338b59%22	https://frame.io/integrations/final-cut-pro	/Users/dhruv/websites/Speak%20Savvy/frame.io/integrations/final-cut-pro.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:45	281573/281573	---MCZ	200	added ('OK')	text/html	etag:W/%22610b891e1f548ca861cca8b710d27984%22	https://frame.io/integrations/avid-media-composer	/Users/dhruv/websites/Speak%20Savvy/frame.io/integrations/avid-media-composer.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:45	714660/714660	---MCZ	200	added ('OK')	text/html	etag:W/%22375ff8749bb6b21cdd0b546da54a9110%22	https://frame.io/enterprise	/Users/dhruv/websites/Speak%20Savvy/frame.io/enterprise.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:46	345163/345163	---MCZ	200	added ('OK')	text/html	etag:W/%22e2eeb2fdec6154cb1785489c3603fabd%22	https://frame.io/content-supply-chain	/Users/dhruv/websites/Speak%20Savvy/frame.io/content-supply-chain.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:47	815537/815537	---MCZ	200	added ('OK')	text/html	etag:W/%22d52cf1c099ed3d4d7a5c107bf7009e5b%22	https://frame.io/c2c	/Users/dhruv/websites/Speak%20Savvy/frame.io/c2c.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:48	671443/671443	---MCZ	200	added ('OK')	text/html	etag:W/%2297780f674bb48531e6de578ad52ee8d8%22	https://frame.io/customers	/Users/dhruv/websites/Speak%20Savvy/frame.io/customers.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:50	272771/272771	---MCZ	200	added ('OK')	text/html	etag:W/%22feb9c853f005ec777d4125cd5911c46c%22	https://frame.io/live	/Users/dhruv/websites/Speak%20Savvy/frame.io/live.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:50	973515/973515	---MCZ	200	added ('OK')	text/html	etag:W/%22e4449754c2952f862e699df8c6374654%22	https://frame.io/pricing	/Users/dhruv/websites/Speak%20Savvy/frame.io/pricing.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:51	127020/127020	---MCZ	200	added ('OK')	text/html	etag:W/%229d84afe9d88af4fab819e3854d8f77ac%22	https://frame.io/v4-keynote	/Users/dhruv/websites/Speak%20Savvy/frame.io/v4-keynote.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:52	189359/189359	---MCZ	200	added ('OK')	text/html	etag:W/%22ae49addec6f2a1e5ddb442de1e61a9aa%22	https://frame.io/transfer	/Users/dhruv/websites/Speak%20Savvy/frame.io/transfer.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:53	375769/375769	---MCZ	200	added ('OK')	text/html	etag:W/%224d2283733fd73f98d4b476111fb8b921%22	https://frame.io/security	/Users/dhruv/websites/Speak%20Savvy/frame.io/security.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:54	188085/188085	---MCZ	200	added ('OK')	text/html	etag:W/%224dc1b6a31d735c3924c64e10e76a9043%22	https://frame.io/careers	/Users/dhruv/websites/Speak%20Savvy/frame.io/careers.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:55	406159/406159	---MCZ	200	added ('OK')	text/html	etag:W/%22cec5f7a6e0a6f5c1b3ad81b8232d2593%22	https://frame.io/terms	/Users/dhruv/websites/Speak%20Savvy/frame.io/terms.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:56	405279/405279	---MCZ	200	added ('OK')	text/html	etag:W/%2223c763c033b2f950d063c205aafa6659%22	https://frame.io/privacy	/Users/dhruv/websites/Speak%20Savvy/frame.io/privacy.html	(from https://frame.io/v4?ref=saaspo.com)
18:27:56	196/196	---M--	200	added ('OK')	image/svg+xml	etag:%2250cbe727fb0cd29e761a2f2d17e56b36%22	https://frame.io/form-input-mask-underline.svg	/Users/dhruv/websites/Speak%20Savvy/frame.io/form-input-mask-underline.svg	(from https://frame.io/_next/static/css/76bd4c54e1585539.css)
18:27:57	627/627	---M--	200	added ('OK')	image/svg+xml	etag:%22993c2162fa56b4be95884eb983090493%22	https://frame.io/form-input-mask.svg	/Users/dhruv/websites/Speak%20Savvy/frame.io/form-input-mask.svg	(from https://frame.io/_next/static/css/76bd4c54e1585539.css)
18:27:59	240187/240187	---MCZ	200	added ('OK')	text/html	etag:W/%22e55d8a603014564288b8933fc5d68e1a%22	https://frame.io/photo-cloud-workflow	/Users/dhruv/websites/Speak%20Savvy/frame.io/photo-cloud-workflow.html	(from https://frame.io/integrations)
18:28:00	166/166	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2008%20Jul%202024%2008:28:00%20GMT	https://frame.io/gration/?affiliates=66f041e16a60928b05a7e228a89c3799	/Users/dhruv/websites/Speak%20Savvy/frame.io/gration/index8234.html	(from https://frame.io/integrations)
18:28:00	257444/257444	---MCZ	200	added ('OK')	text/html	etag:W/%225d5fd6639e1a5b293a59d3b4c091f174%22	https://frame.io/c2c/red	/Users/dhruv/websites/Speak%20Savvy/frame.io/c2c/red.html	(from https://frame.io/integrations)
18:28:01	213543/213543	---MCZ	200	added ('OK')	text/html	etag:W/%22de53faa8d74c535986233e629be99c13%22	https://frame.io/creative-cloud-enterprise	/Users/dhruv/websites/Speak%20Savvy/frame.io/creative-cloud-enterprise.html	(from https://frame.io/integrations/creative-cloud)
18:28:02	241882/241882	---MCZ	200	added ('OK')	text/html	etag:W/%223cf9b1a35bf2df068ebba58d77ae76b1%22	https://frame.io/case-studies/vmware	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/vmware.html	(from https://frame.io/enterprise)
18:28:03	208894/208894	---MCZ	200	added ('OK')	text/html	etag:W/%228c256476677ee1644529a0b399cd45fe%22	https://frame.io/case-studies/stamp	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/stamp.html	(from https://frame.io/customers)
18:28:04	228231/228231	---MCZ	200	added ('OK')	text/html	etag:W/%2215be5fc083a0624507617d45dc3f7812%22	https://frame.io/case-studies/sundance-film-festival	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/sundance-film-festival.html	(from https://frame.io/customers)
18:28:05	204631/204631	---MCZ	200	added ('OK')	text/html	etag:W/%22684f0746f98ec946c5f732367b8a0620%22	https://frame.io/case-studies/la-rams	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/la-rams.html	(from https://frame.io/customers)
18:28:06	202572/202572	---MCZ	200	added ('OK')	text/html	etag:W/%225104877e1a8ecdba080f97673ef7f80e%22	https://frame.io/case-studies/xfinity	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/xfinity.html	(from https://frame.io/customers)
18:28:06	218653/218653	---MCZ	200	added ('OK')	text/html	etag:W/%22d20bdefc85138cf979a4dd15d544e696%22	https://frame.io/case-studies/vspeed	/Users/dhruv/websites/Speak%20Savvy/frame.io/case-studies/vspeed.html	(from https://frame.io/customers)
